,loss,accuracy,val_loss,val_accuracy
0,0.4719928205013275,0.8090293407440186,1.2209163904190063,0.260869562625885
1,0.18642812967300415,0.9340857863426208,1.7552475929260254,0.3171355426311493
2,0.12173007428646088,0.9638826251029968,3.1678314208984375,0.3427110016345978
3,0.15301114320755005,0.947178304195404,1.2215461730957031,0.3120204508304596
4,0.1259652078151703,0.9629796743392944,1.1355092525482178,0.3171355426311493
5,0.11842483282089233,0.9638826251029968,1.4444916248321533,0.35805627703666687
6,0.10072772204875946,0.97336345911026,3.5274901390075684,0.3171355426311493
7,0.14450137317180634,0.9566591382026672,1.14118492603302,0.37851661443710327
8,0.14745013415813446,0.9544017910957336,3.9530162811279297,0.3171355426311493
9,0.09372566640377045,0.968397319316864,2.418273448944092,0.3171355426311493
10,0.11966001987457275,0.967042863368988,1.9243844747543335,0.3171355426311493
11,0.1516149491071701,0.9516929984092712,1.6843085289001465,0.4424552321434021
12,0.07431246340274811,0.978329598903656,1.7943847179412842,0.5652173757553101
13,0.04251014441251755,0.9878103733062744,0.8024940490722656,0.8005114793777466
14,0.03199084848165512,0.9927765130996704,0.8227223753929138,0.8439897894859314
15,0.02273842878639698,0.9936794638633728,0.6202262043952942,0.8695651888847351
16,0.0038070501759648323,0.9986456036567688,1.2745680809020996,0.7135549783706665
17,0.009352023713290691,0.9972912073135376,0.4580216407775879,0.9181585907936096
18,0.0041551594622433186,0.9977426528930664,0.5188796520233154,0.9309462904930115
19,0.0035786868538707495,0.9986456036567688,0.5257793068885803,0.9411764740943909
20,0.0010508885607123375,0.9995485544204712,0.6026227474212646,0.9360613822937012
21,0.00021285124239511788,1.0,0.6304596662521362,0.9360613822937012
22,0.0002717117313295603,1.0,0.6545813083648682,0.9386188983917236
23,0.0001723921304801479,1.0,0.6651782393455505,0.9386188983917236
24,0.00032086632563732564,1.0,0.6630356907844543,0.9411764740943909
